,Unnamed: 0,quest,option_1,option_2,option_3,option_4,correct_ans
15,C,<p>Oil of winter green is</p>,a carboxylic acid,an alcohol,a ketone,an ester,4
22,C,"<p>When acetamide is treated with Br<sub>2</sub> and caustic soda, the product formed is
</p>",N-brommide,bromoacetic acid,methanamine,ethanamine,3
23,C,<p>Which of the following diacid readily gives anhydride on heating ?</p>,Fumaric,Maleic acid,Malic acid,Terephthalic acid,2
24,C,<p>Hydroxamic acid test is employed to detect</p>,ketones,aldehydes,esters,amides,3
25,C,"<p>Which of the following would undergo Hofmann reaction to give a primary amine?
</p>",<i>R</i>COCl,<i>R</i>CONHCH<sub>3</sub>,<i>R</i>CONH<sub>2</sub>,<i>R</i>COO<i>R</i>',3
26,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13875,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat221Q63.png""/></p>","1, 2-butane diol","2,2- butane diol","2,3-butane diol","1, 1-butane diol",3
27,C,"<p>The product formed in the reaction <i>n</i>-hexanamide +Br<sub>2</sub> + KOH , is
</p>",hexanamine,propanamine,butanamine,pentanamine ,4
28,C,<p>Amides are formed by the reaction of acid chloride with</p>,NH<sub>2</sub>NH<sub>2</sub>,NH<sub>3</sub> ,NH<sub>2</sub>OH,C<sub>6</sub>H<sub>5</sub>NHNH<sub>2</sub> ,2
29,C,"<p>Rate of reaction,</p>",Cl,NH<sub>2</sub>,OC<sub>2</sub>H<sub>5</sub>,OCOCH<sub>3</sub>,1
30,C,"<p>Which one of the following can produce hydrogen when treated with metallic sodium?
</p>",(CH<sub>3</sub>)<sub>2</sub> NH,CH<sub>3</sub> NH<sub>2</sub> ,C<sub>6</sub>H<sub>5</sub>NH<sub>2</sub>,CH<sub>3</sub>CONH<sub>2</sub>,4
31,C,"<p>The silver salt of a fatty acid on refluxing with an alkyl halide gives an
</p>",acid,ester,ether,amine,2
32,C,"<p>Urea is preferred to ammonium sulphate as a nitrogenous fertiliser because
</p>",it is more soluble in water,it is cheaper than ammonium sulphate,it is quite stable,it does not cause acidity in the soil,4
33,C,<p>Which is the most reactive of the following? </p>,Ethyl acetate,Acetic anhydride,Acetamide,Acetyl chloride,4
34,C,<p>A carboxylic acid is converted into its anhydride using</p>,thionyl chloride,sulphur chloride,sulphuric acid,phosphorus pentoxide,4
35,C,<p>Acetamide is</p>,highly acidic,highly basic,neutral,amphoteric,4
36,C,"<p>The correct increasing order of the acid strength of benzoic acid (I), 4-nitrobenzoic acid (II), 3, 4-dinitrobenzoic acid
(III) and 4methoxybenzoic acid (IV) is
</p>",I &lt; II &lt; III &lt; IV,II &lt; I &lt; IV &lt; III,IV &lt; I &lt; II &lt; III,IV &lt; II &lt; I &lt; III ,3
37,C,"<p>Which of the following acids dissociates to the greatest extent in aqueous solution?
</p>",Trichloroacetic acid,Acetic acid,Chloroacetic acid,Dichloroacetic acid,1
38,C,<p>Which acid is present in vinegar?</p>,Formic acid,Acetic acid,Butyric acid,Tartaric acid,2
39,C,"<p>Which one of the following acid does not have a carboxylic group ?
</p>",Methanoic acid,Ethanoic acid,Propanoic acid,Picric acid,4
40,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13907,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q95.png""/></p>",Ethyl acetate,Acetic acid,Propanoic acid,Methyl acetate,2
41,C,"<p>The compound that does not liberate CO<sub>2</sub> on treatment with aqueous sodium bicarbonate solution is
</p>",benzoic acid,benzenesulphonic acid,salicylic acid,carbolic acid (Phenol),4
42,C,<p>Vinegar is dilute aqueous solution of</p>,ethanoic acid,benzoic acid,citric acid,oxalic acid,1
43,C,"<p>Which of the following reagent is used to distinguish between methanoic acid and ethanoic acid
</p>",Tollen's reagent,FeCl<sub>3</sub> solution,NaOH solution,Na<sub>2</sub>CO<sub>3</sub> solution,1
44,C,<p>Which of the following acid reduces Tollen' reagent?</p>,Formic acid,Acetic acid	,Lactic acid,Oxalic acid,1
45,C,<p>The strongest acid amongst the following compounds is</p>,CH<sub>3</sub>COOH,HCOOH,CH<sub>3</sub>CH<sub>2</sub>CH(Cl)CO<sub>2</sub>H ,ClCH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>COOH,3
46,C,<p>Which reaction is suitable for the preparation of α-chloroacetic acid?</p>,Hell-Volhard-Zelinsky reaction,Nef reaction,Stephen's reaction,Perkin condensation,1
47,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13926,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q114.png""/></p>",glycollic acid,α-hydroxy propionic acid,succinic acid,malonic acid,4
48,C,<p>Oxidation of which compound is not possible? </p>,CH<sub>3</sub> — COOH	,CH<sub>3</sub> — CO— CH<sub>3</sub> ,CH<sub>3</sub>  —CHO,CH<sub>3</sub>—CH<sub>2</sub>—OH,1
49,C,"<p>The gas evolved on heating alkali formate with sodalime is
</p>",CO,CO<sub>2</sub>,hydrogen ,water vapour,3
50,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13938,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q126.png""/></p>",Lossen reaction	,Schmidt reaction,Curtius reaction,Ullmann reaction,2
51,C,"<p>Which of the following acids has the smallest dissociation constant ?
</p>",CH<sub>3</sub>CHFCOOH,FCH<sub>2</sub> CH<sub>2</sub> COOH,BrCH<sub>2</sub> CH<sub>2</sub> COOH,CH<sub>3</sub> CHBrCOOH,3
52,C,"<p>2, 4-dichlorophenoxy acetic acid is used as</p>",fungicide,insecticide,herbicide,moth repellant,3
53,C,<p>Lemon gives sour taste because of</p>,citric acid,tartaric acid,oxalic acid,acetic acid,1
54,C,<p>Reaction of acid with alcohols is also known as</p>,esterification,saponification,alkalisation,None of the above,1
55,C,<p>Acetic acid reacts with PCl<sub>5</sub> to form</p>,CH<sub>2</sub>ClCOOH	,CHCl<sub>2</sub>COOH,CH<sub>3</sub>COCl,CH<sub>3</sub>COOCl,3
56,C,<p>The acid which contains the aldehyde group is </p>,acetic acid,formic acid,benzoic acid,propionic acid,2
57,C,"<p>The reagent which does not give acid chloride on treating with a carboxylic acid is
</p>",PCl<sub>5</sub>,Cl<sub>2</sub>,SOCl<sub>2</sub>,PCl<sub>3</sub>,2
58,C,"<p>When CH<sub>3</sub>COOH reacts with CH<sub>3</sub> — Mg <i>X</i> , </p>",CH<sub>3</sub>CO<i>X</i> is formed,hydrocarbon is formed,acetone is formed,alcohol is formed ,2
59,C,<p>Which reagent can convert acetic acid into ethanol?</p>,Na + alcohol,LiAlH<sub>4</sub> + ether ,H<sub>2</sub> + Pt,Sn + HCl,2
60,C,"<p>Among the following, the most acidic is</p>",CH<sub>3</sub>COOH	,ClCH<sub>2</sub>COOH,Cl<sub>2</sub> CHCOOH,Cl<sub>2</sub> CHCH<sub>2</sub> COOH,2
61,C,"<p>Among the following acids which has the lowest p<i>K<sub>a</sub></i> value ?
</p>",CH<sub>3</sub>CH<sub>2</sub>COOH,(CH<sub>3</sub>)<sub>2</sub> CH — COOH,HCOOH,CH<sub>3</sub>COOH,3
62,C,<p>Liquid obtained by distillation of red ant is	</p>,formaline,formaldehyde,formic acid,formyl chloride,3
63,C,<p>Colouration of Br<sub>2</sub>/CCl<sub>4</sub> will be discharged by</p>,cinnamic acid,benzoic acid,<i>o</i>-phthalic acid,acetophenone,1
64,C,<p>Acetic acid will be obtained on oxidation of </p>,ethanol,propanal,methanal,glyoxal,1
145,C,<p>The refluxing of (CH<sub>3</sub>)<sub>2</sub>NCOCH<sub>3</sub> with acid gives</p>,(CH<sub>3</sub>)<sub>2</sub> NH + CH<sub>3</sub>COOH,(CH<sub>3</sub>)<sub>2</sub> NCOOH + CH<sub>4</sub> ,2CH<sub>3</sub>OH+ CH<sub>3</sub> CONH<sub>2</sub> ,2CH<sub>3</sub>NH<sub>2</sub> + CH<sub>3</sub>COOH,1
146,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13891,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat221Q79.png""/></p>","1,1-diphenylethanol","2,1-diphenylethanol",methyl phenylethanol ,methyl phenylketone,1
147,C,<p>Ethyl benzoate reacts with PCl<sub>5</sub> to give</p>,C<sub>2</sub>H<sub>5</sub>Cl + C<sub>6</sub>H<sub>5</sub>COCl+ POCl<sub>3</sub> + HCl,C<sub>2</sub>H<sub>5</sub>Cl + C<sub>6</sub>H<sub>5</sub>COCl + POCl<sub>3</sub>,CH<sub>3</sub>COCl +  C<sub>6</sub>H<sub>5</sub>COCl+ POCl<sub>3</sub>,C<sub>2</sub>H<sub>5</sub>Cl + C<sub>6</sub>H<sub>5</sub>COOH + POCl<sub>3</sub>,2
148,C,<p>Sodium phenoxide when heated with CO<sub>2</sub> under pressure at 125°C yields a product which on acetylation produces <i>C</i>. </p>,"		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q85O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q85O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q85O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q85O4.png""/>",1
149,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13898,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q86.png""/></p>",acetaldehyde,acetylene,ethylene,acetyl chloride,3
150,C,<p>What represents the best method for producing salicylic acid?</p>,"Benzoic acid, strong base, high temperature","Toluene, strong base, water, high temperature","Phenol, base carbondioxide then acid","Bromobenzene, carbonic acid, high temperature",3
151,C,"<p>Match the following columns.

</p>","A = 3, B = 1, C = 4, D = 2","A = 4, B = 2, C = 3, D = 1","A = 2, B = 3, C = 1, D = 4","A = 3, B = 4, C = 1, D = 2",4
152,C,"<p>Among the following compounds, the one(s) that gives (give) effervescence with aqueous NaHCO<sub>3</sub> solution is (are)<br/>
I. (CH<sub>3</sub>CO)<sub>2</sub>OCH<sub>3</sub><br/>II.  COOHPhOH<br/>III.  CH<sub>3</sub><br/>IV.  COCHO</p>",I and II,I and III ,Only II,I and IV,1
153,C,"<p>What will be the end product (<i>B</i> ) in the following sequence of reactions?
</p>","1, 2-dibromobenzene","1, 2-dibromobenzaldehyde","1, 3-dibromobenzene","1, 4-dibromobenzene",3
154,C,<p>The total number of carboxylic acid groups in the product <i>P</i> is </p>,5,2,4,3,2
155,C,"<p>An organic compound <i>A</i> upon reacting with NH<sub>3</sub> gives <i>B</i> . On heating , <i>B</i> gives <i>C</i> . <i>C</i> in the presence of KOH reacts with Br<sub>2</sub> to give CH<sub>3</sub>CH<sub>2</sub>NH<sub>2</sub>. <i>A</i> is</p>",CH<sub>3</sub>COOH,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>COOH,"		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q98O3.png""/>",CH<sub>3</sub>CH<sub>2</sub>COOH,4
156,C,"<p>The reaction of CO<sub>2</sub> with sodium phenoxide at 400 K result in
</p>",benzoic acid,sodium benzoate,salicylaldehyde,sodium salicylate,4
